235010620,9352793,"SVITZER STANLOW","MLNF7","UK","TUG",39,16,18,7,0.0,"Moored","2023-06-01 04:00:23",53.38,-2.99927,0.0,235.9,1.0,1.0,0.0,"","2023-05-29 06:30:00",0,0
304036000,9106912,"HAV PIKE","V2QP6","AC","MER",88,13,12,8,0.0,"Under way using engines","2023-06-01 04:00:23",54.0394,-5.35445,9.5,188.2,1.0,1.0,0.0,"","2023-06-04 14:00:00",0,0
235055862,0,"PASTIME OF INNISFREE","MSTW4","UK","",0,0,0,0,0.0,"Unknown / Not Available","2023-06-01 04:00:23",54.6643,-5.673,0.0,349.8,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
232013243,0,"WINDCAT 41","MCKB8","UK","HSC",22,8,14,3,0.0,"Moored","2023-06-01 04:00:24",54.0947,-3.22785,0.0,1.8,1.0,1.0,0.0,"","2023-05-31 09:00:00",0,0
232013243,0,"WINDCAT 41","MCKB8","UK","HSC",22,8,14,3,0.0,"Moored","2023-06-01 04:00:26",54.0947,-3.22785,0.0,1.8,1.0,1.0,0.0,"","2023-05-31 09:00:00",0,0
235040663,0,"ADVENTURE","","UK","",0,0,0,0,0.0,"Unknown / Not Available","2023-06-01 04:00:26",54.411,-5.34455,8.0,136.1,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
234557000,9136319,"FURNESS ABBEY","MWCI9","UK","TUG",24,7,12,2,0.0,"Restricted manoeuvrability","2023-06-01 04:00:27",54.0947,-3.22443,0.0,354.5,1.0,1.0,0.0,"","2024-04-27 03:30:00",0,0
244990000,7711062,"SOSPAN DAU","PBAL","NL","AIR",73,14,16,4,0.0,"Restricted manoeuvrability","2023-06-01 04:00:27",51.684,-4.2209,0.0,358.2,1.0,1.0,0.0,"","2023-05-31 04:00:00",0,0
235116077,0,"ST DAVIDS","2JIA5","UK","PLT",19,4,7,2,0.0,"Under way using engines","2023-06-01 04:00:27",51.7064,-5.05124,0.0,333.1,1.0,1.0,0.0,"","2023-06-13 11:00:00",0,0
212375000,9350666,"SEATRUCK POINT","C4YV2","CY","MER",142,23,121,21,0.0,"Under way using engines","2023-06-01 04:00:29",53.9958,-5.91962,16.9,272.8,1.0,1.0,0.0,"","2023-06-01 05:30:00",1,0
250003659,8712556,"ST JEAN BAPTISTE","EIQS2","EI","FSH",24,6,10,3,0.0,"Engaged in fishing","2023-06-01 04:00:29",51.4182,-6.07775,5.3,20.8,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
235087256,9154323,"STOLT KINGFISHER","2EQD7","UK","TNK",100,17,25,9,0.0,"Under way using engines","2023-06-01 04:00:30",54.0903,-4.37829,6.1,338.4,1.0,1.0,0.0,"","2023-06-01 05:00:00",0,0
244710091,9772541,"ARKLOW VALIANT","PBRP","NL","MER",87,15,12,7,0.0,"Under way using engines","2023-06-01 04:00:31",52.582,-5.74082,9.6,186.6,1.0,1.0,0.0,"","2023-06-03 14:00:00",0,0
235000379,0,"TORCH","MQJA8","UK","MER",20,9,0,0,0.0,"Under way using engines","2023-06-01 04:00:32",54.0949,-3.2241,0.0,-1.0,1.0,1.0,0.0,"","2023-08-23 19:30:00",0,0
219586000,9746126,"DISCOVERER","OWHK2","DA","HSC",27,10,10,5,0.0,"Moored","2023-06-01 04:00:32",54.095,-3.22833,0.0,294.0,1.0,1.0,0.0,"","2023-07-05 08:00:00",0,0
